id,product_name,sku,category,brand,size,color,cost_price,selling_price,quantity,min_stock,barcode,status,description,created_at
1,Elegant Night Suit,SIMS0001,Jackets,StyleCraft,36,Black,4520.87,9553.2,80,16,8901991357666,active,"Elegant Night Suit by StyleCraft in Black, Size 36 - Jackets",2025-08-24T00:00:00
2,Trendy Stole,SIMS0002,Kurtas,StyleCraft,38,Beige,4249.72,6540.58,196,12,8907485508823,active,"Trendy Stole by StyleCraft in Beige, Size 38 - Kurtas",2025-01-25T00:00:00
3,Ethnic Anarkali Dress,SIMS0003,Activewear,UrbanFit,XL,Brown,4893.03,10225.82,140,26,8901108689082,active,"Ethnic Anarkali Dress by UrbanFit in Brown, Size XL - Activewear",2024-02-20T00:00:00
4,Urban Beanie,SIMS0004,Sarees,ThreadCraft,XL,Sky Blue,1212.17,1852.39,128,9,8909847384897,active,"Urban Beanie by ThreadCraft in Sky Blue, Size XL - Sarees",2025-10-05T00:00:00
5,Slim Fit Stole,SIMS0005,T-Shirts,UrbanFit,XL,Charcoal,2960.93,6451.37,46,28,8904960905451,active,"Slim Fit Stole by UrbanFit in Charcoal, Size XL - T-Shirts",2025-03-01T00:00:00
6,Oversized Jeans,SIMS0006,Jeans,ThreadCraft,40,Lavender,2724.63,6528.72,425,20,8903208477842,active,"Oversized Jeans by ThreadCraft in Lavender, Size 40 - Jeans",2024-10-29T00:00:00
7,Comfort Sling Bag,SIMS0007,Shirts,Elegance,30,Navy Blue,3807.63,5980.79,346,16,8906333966781,active,"Comfort Sling Bag by Elegance in Navy Blue, Size 30 - Shirts",2024-04-02T00:00:00
8,Essential Cotton T-Shirt,SIMS0008,Jackets,StyleCraft,32,Red,1937.64,4260.51,134,25,8908845832758,active,"Essential Cotton T-Shirt by StyleCraft in Red, Size 32 - Jackets",2025-01-15T00:00:00
9,Slim Fit Gloves,SIMS0009,Trousers,ThreadCraft,30,Black,4588.99,7184.71,32,27,8909528247069,active,"Slim Fit Gloves by ThreadCraft in Black, Size 30 - Trousers",2024-11-05T00:00:00
10,Luxury Hoodie,SIMS0010,Jeans,FabricFirst,XS,White,4980.25,7168.3,120,17,8908214828427,active,"Luxury Hoodie by FabricFirst in White, Size XS - Jeans",2025-04-09T00:00:00
11,Sporty Muffler,SIMS0011,Kids Wear,Elegance,28,Coral,4444.26,9270.31,426,18,8907567904788,active,"Sporty Muffler by Elegance in Coral, Size 28 - Kids Wear",2024-10-13T00:00:00
12,Classic Cap,SIMS0012,Dresses,StyleCraft,L,Charcoal,4760.19,11074.77,50,25,8905930286379,active,"Classic Cap by StyleCraft in Charcoal, Size L - Dresses",2025-01-02T00:00:00
13,Classic Top,SIMS0013,Jackets,StyleCraft,L,Red,594.62,924.35,327,6,8909014757312,active,"Classic Top by StyleCraft in Red, Size L - Jackets",2024-12-07T00:00:00
14,Formal Cardigan,SIMS0014,Activewear,StitchWell,L,Navy Blue,2993.96,6813.25,119,30,8905409851628,active,"Formal Cardigan by StitchWell in Navy Blue, Size L - Activewear",2025-09-02T00:00:00
