id,product_id,product_name,material_id,material_name,change_type,quantity,reference_type,reference_id,notes,user_id,created_at
1,185,Elegant Duffle Bag,,,in,-121,purchase,45,Return,6,2025-08-02T21:00:00
2,,,12,Polyester Thread,out,390,sale,140,Stock adjustment,10,2025-01-19T18:00:00
3,92,Comfort Bathrobe,8,Rayon Fabric,in,288,purchase,231,,5,2024-01-01T04:00:00
4,171,Slim Fit Cotton T-Shirt,,,in,437,purchase,223,,3,2025-10-29T15:00:00
5,39,Essential Night Suit,,,adjustment,6,,,Quality check,10,2025-08-08T07:00:00
6,166,Sporty Night Suit,5,Wool Fabric,out,379,sale,237,Stock adjustment,2,2025-06-19T15:00:00
7,124,Designer Shorts,,,in,416,purchase,219,Inventory count,11,2024-07-08T04:00:00
8,118,Casual Casual Shirt,90,Drawstring - Cotton,out,390,sale,346,Inventory count,11,2025-06-27T17:00:00
9,,,27,Interfacing Fabric,out,446,sale,216,Damaged goods,4,2025-08-08T22:00:00
10,,,43,Lace Fabric,in,116,purchase,309,Return,3,2024-07-11T00:00:00
11,,,,,in,400,purchase,64,,6,2024-03-11T11:00:00
12,,,73,Mesh Fabric,out,455,sale,414,Inventory count,1,2025-04-12T09:00:00
13,,,,,adjustment,374,,,Damaged goods,5,2025-04-20T12:00:00
14,128,Modern Maxi Dress,74,Satin Fabric,out,258,sale,341,Damaged goods,2,2025-08-30T14:00:00
15,,,55,Rivet,out,-166,sale,418,,1,2024-09-20T10:00:00
16,,,61,Stopper,out,3,sale,126,Quality check,5,2024-02-08T18:00:00
17,119,Designer Joggers,15,Zipper - Nylon,out,450,sale,219,Return,3,2025-08-02T20:00:00
18,,,,,out,-150,sale,357,Inventory count,1,2025-01-14T18:00:00
19,,,,,in,-36,purchase,189,Stock adjustment,7,2025-04-18T13:00:00
20,81,Designer Waistcoat,68,Patch - Embroidered,in,435,purchase,121,Return,10,2025-07-27T18:00:00
21,106,Traditional Trousers,32,Tag - Paper,out,105,sale,179,Damaged goods,4,2024-12-04T08:00:00
22,,,,,in,112,purchase,364,Quality check,10,2025-09-18T03:00:00
23,,,91,Drawstring - Polyester,out,64,sale,302,Inventory count,5,2024-10-09T18:00:00
24,105,Urban Tote Bag,,,in,338,purchase,295,,3,2025-11-23T21:00:00
25,129,Modern Top,78,Velvet Fabric,in,288,purchase,25,Damaged goods,2,2024-08-11T18:00:00
26,,,,,in,384,purchase,81,,3,2025-04-01T04:00:00
27,12,Classic Cap,39,Thread - Embroidery,in,331,purchase,441,Damaged goods,11,2024-12-22T06:00:00
28,95,Slim Fit Crop Top,,,adjustment,399,,,,4,2024-05-15T04:00:00
29,,,39,Thread - Embroidery,in,190,purchase,22,Stock adjustment,10,2024-03-06T04:00:00
30,,,46,Fleece Fabric,in,-91,purchase,422,Stock adjustment,8,2024-05-19T03:00:00
31,,,,,in,409,purchase,440,Return,10,2025-02-05T06:00:00
32,121,Designer Night Suit,72,Knit Fabric,in,240,purchase,322,Stock adjustment,2,2024-03-21T18:00:00
33,,,,,in,65,purchase,362,Quality check,4,2024-12-01T12:00:00
34,,,48,Wadding,in,-151,purchase,38,,4,2024-07-28T09:00:00
35,190,Premium Salwar Suit,,,out,54,sale,81,Inventory count,5,2024-07-18T09:00:00
36,168,Regular Fit Vest,,,in,108,purchase,136,Inventory count,10,2024-08-25T21:00:00
37,173,Regular Fit Skirt,51,Button - Brass,out,353,sale,259,Return,3,2024-01-29T01:00:00
38,,,7,Viscose Fabric,out,-44,sale,441,Inventory count,8,2025-10-31T02:00:00
39,49,Casual Sling Bag,39,Thread - Embroidery,in,12,purchase,33,,4,2024-11-22T01:00:00
40,94,Elegant Leather Jacket,21,Button - Shell,out,-35,sale,407,Damaged goods,7,2025-07-26T19:00:00
41,,,94,Lace - Cotton,out,-37,sale,174,,9,2024-07-22T06:00:00
42,3,Ethnic Anarkali Dress,,,in,-63,purchase,320,,4,2024-12-04T12:00:00
43,,,,,in,2,purchase,450,Inventory count,8,2024-09-16T13:00:00
44,172,Slim Fit Tank Top,59,Buckle - Plastic,in,173,purchase,376,Quality check,3,2024-01-11T14:00:00
45,193,Comfort Lehenga,32,Tag - Paper,out,-142,sale,313,Return,4,2024-06-26T08:00:00
46,45,Casual Salwar Suit,95,Lace - Polyester,in,395,purchase,41,Inventory count,3,2025-07-23T08:00:00
47,,,17,Zipper - Plastic,in,-153,purchase,15,Damaged goods,8,2024-05-10T17:00:00
48,149,Regular Fit Anarkali Dress,99,Sewing Thread - Black,in,-184,purchase,485,,3,2024-04-03T14:00:00
49,75,Ethnic Sherwani,,,adjustment,182,,,Quality check,5,2024-02-29T14:00:00
50,119,Designer Joggers,14,Nylon Thread,adjustment,287,,,Inventory count,6,2025-10-19T20:00:00
51,,,77,Organza Fabric,in,-13,purchase,212,Quality check,6,2024-09-27T01:00:00
52,138,Essential Cotton T-Shirt,57,Magnetic Snap,adjustment,-43,,,,6,2025-11-24T15:00:00
53,47,Classic Crop Top,,,out,413,sale,447,Return,7,2024-02-11T18:00:00
54,183,Oversized Maxi Dress,,,out,319,sale,389,Inventory count,4,2024-05-30T07:00:00
55,,,10,Spandex Fabric,adjustment,-10,,,,2,2024-04-12T04:00:00
56,132,Modern Saree,,,in,154,purchase,62,,11,2025-07-20T13:00:00
57,125,Luxury Cardigan,,,in,-164,purchase,233,,6,2025-10-06T07:00:00
58,159,Traditional Waistcoat,,,in,163,purchase,301,Return,2,2024-07-01T19:00:00
59,,,,,out,304,sale,53,Damaged goods,4,2025-02-01T23:00:00
60,42,Modern Salwar Suit,,,in,96,purchase,286,,7,2024-06-02T04:00:00
61,176,Trendy Duffle Bag,76,Georgette Fabric,in,461,purchase,193,Stock adjustment,1,2025-01-26T06:00:00
62,51,Luxury Casual Shirt,,,adjustment,96,,,Inventory count,1,2024-10-28T09:00:00
63,128,Modern Maxi Dress,75,Chiffon Fabric,in,138,purchase,258,Inventory count,1,2024-01-13T08:00:00
64,158,Luxury Hat,99,Sewing Thread - Black,in,319,purchase,6,,10,2025-12-01T11:00:00
65,115,Luxury Leather Jacket,80,Tweed Fabric,in,-14,purchase,98,Stock adjustment,3,2025-02-10T13:00:00
66,,,,,out,-11,sale,380,Inventory count,6,2025-04-08T15:00:00
67,146,Traditional Bow Tie,,,in,228,purchase,82,Return,9,2024-03-23T12:00:00
68,35,Regular Fit Kurta,,,in,177,purchase,73,,3,2025-08-09T23:00:00
69,,,,,out,220,sale,147,,10,2024-08-11T01:00:00
70,180,Modern Stole,30,Label - Woven,in,246,purchase,162,,11,2024-09-07T14:00:00
71,186,Sporty Skirt,,,out,-16,sale,89,Quality check,2,2024-02-13T13:00:00
72,,,83,Buttons Pack - 12mm,in,484,purchase,340,,4,2025-07-18T10:00:00
73,,,98,Fusible Interfacing,in,-159,purchase,371,Stock adjustment,3,2024-02-14T08:00:00
74,46,Contemporary Formal Shirt,13,Silk Thread,in,-23,purchase,420,Damaged goods,9,2024-03-19T11:00:00
75,29,Trendy Gloves,69,Patch - Iron On,adjustment,-43,,,Quality check,9,2025-03-21T17:00:00
76,,,,,out,396,sale,206,Return,5,2024-04-22T16:00:00
77,,,,,out,112,sale,276,,1,2024-05-16T21:00:00
78,129,Modern Top,64,Chain - Plastic,out,252,sale,91,Inventory count,4,2025-10-15T16:00:00
